ID,Creation time,Notes,Dev Internal,Name,Blocked,Regression,Story points,Owner,Phase,Severity,Sprint
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180340"",""180340"")",Fri Aug 31 18:01:45 UTC 2018,,No,[UFT remote record] Got unexpected error sometimes if start record immediately after stopping record,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181365"",""181365"")",Fri Aug 31 18:10:54 UTC 2018,,No,"[UFT remote record] Sometimes when recording on a SRF device, no VNC is shown and device is not locked. And it will be fine if record again",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180331"",""180331"")",Fri Aug 31 17:40:44 UTC 2018,,No,"[UFT RnR] Should not show ""Failed to connect to SRF"" error message if user ticks ""Record and run on any open browser"" option.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181342"",""181342"")",Fri Aug 31 17:07:45 UTC 2018,,No,[UFT]The error is not property when open the SRF settings when UFT web burst is running,No,Escaped Defect,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181361"",""181361"")",Fri Aug 31 18:00:30 UTC 2018,,No,"[UFT] [Tools/Options] If the port is missing for proxy setting of SRF, it will pass the test connection, but fail to show RnR.",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180334"",""180334"")",Fri Aug 31 17:47:23 UTC 2018,,No,"'[UFT web burst] [IE] The error message should be readable if performing ""browser.navigate"" action when there is a pop-up on the top of the browser.'",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180326"",""180326"")",Fri Aug 31 17:09:24 UTC 2018,,No,[UFT Web burst]The RnR setting dialog will disapear when select item,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=180343"",""180343"")",Fri Aug 31 18:07:57 UTC 2018,,No,[UFT web burst] UFT is taking the screenshot for the steps which will trigger navigation action before the navigation action finished.,No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=181340"",""181340"")",Fri Aug 31 17:02:58 UTC 2018,,No,"[UFT Web Burst]""Unspecfic error"" occured when run browser.Handledialog micOK",No,Escaped Defect,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=133157"",""133157"")",Fri Feb 10 08:00:00 UTC 2017,,No,[CRUD Application Area][Mobile] New application area is created with Mobile settings of previously created Application area,No,Escaped Defect,,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138590"",""138590"")",Wed Jul 22 08:00:00 UTC 2015,,No,[Chrome Emulator] abs_x and abs_y value are incorrect for page related controls,No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138731"",""138731"")",Mon Jul 27 08:00:00 UTC 2015,,No,[Chrome Emulator] Browser.Close action cannot be recorded,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=137607"",""137607"")",Wed Jul 22 08:00:00 UTC 2015,,No,[Chrome Emulator] Extra css property in object property,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=133954"",""133954"")",Sun Aug 21 08:00:00 UTC 2016,,No,"[Chrome Emulator, GWT]WebButton("" "").click script is missed when recording on dialog box",No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136640"",""136640"")",Sun Dec 20 08:00:00 UTC 2015,,No,[Chrome Emulator]Html Report does not get precise snapshot,No,,1,Jie Zhang (Sagi),Rejected,Medium,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138894"",""138894"")",Tue Dec 29 08:00:00 UTC 2015,,No,"[Chrome Emulator, WebArea,Record] Extra script is recorded when click WebArea object in Emulator mode",No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138892"",""138892"")",Tue Dec 29 08:00:00 UTC 2015,,No,"[Chrome Emulator, WebCheckbox,Record] Set the state of  WebCheckBox can not be recorded when recording in emulator mode",No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138253"",""138253"")",Wed Apr 19 08:00:00 UTC 2017,,No,"Nothing is recorded on a ""enter a password"" operation in React UX Password field",No,Escaped Defect,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=363069"",""363069"")",Tue Jan 07 14:41:10 UTC 2020,,No,'[QA Validation] Safari 13 validation - Sanity - 14.53 patch 5',No,,0,Jie Zhang (Sagi),New,,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136933"",""136933"")",Tue Dec 29 08:00:00 UTC 2015,,No,[HTML/RRV report] No highlight for screenshot in HTML/RRV report.,No,New Feature Regression,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=129056"",""129056"")",Tue Sep 29 08:00:00 UTC 2015,,No,"[UFT Defect][SAP][Android/iOS] The  steps record reversely,when remove from one SAP object to another.",No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=138407"",""138407"")",Fri Aug 19 08:00:00 UTC 2016,,No,[Native Browser] maintenance mode is not work well on Native browser.,No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=136037"",""136037"")",Tue Aug 23 08:00:00 UTC 2016,,No,[Native Browser][Web Acc][Web Tab/WebTree] the object highlight funciton does not work on native browser,No,,1,Jie Zhang (Sagi),Rejected,High,
"=HYPERLINK(""https://internal.almoctane.com/ui/entity-navigation.jsp?p=45001/6001&entityType=work_item&id=133980"",""133980"")",Mon Aug 22 08:00:00 UTC 2016,,No,"'[UFT Defect] If mobile add-in is disabled from UFT RnR then in Web tab we select the option to use settings in Mobile tab, user should not be able to record or replay'",No,,1,Jie Zhang (Sagi),Rejected,Medium,
