date,Hong Kong SAR,Ireland,Korea,United States
2023-10-29,0,51,2,3
2023-11-05,0,65,1,2
2023-11-12,0,31,30,2
2023-11-19,0,139,1,5
2023-11-26,0,29,1,1
2023-12-03,0,130,3,2
2023-12-10,0,26,5,5
2023-12-17,0,135,6,4
2023-12-24,0,34,7,2
2023-12-31,0,18,13,2
2024-01-07,0,18,10,5
2024-01-14,0,45,17,7
2024-01-21,0,45,22,8
2024-01-28,4,146,15,11
2024-02-04,12,163,2,6
2024-02-11,9,152,3,13
2024-02-18,5,31,2,4
2024-02-25,18,83,2,5
2024-03-03,20,59,3,6
2024-03-10,19,75,4,7
2024-03-17,35,65,3,4
2024-03-24,20,60,4,2
2024-03-31,27,47,2,4
2024-04-07,17,46,5,7
2024-04-14,24,68,2,4
2024-04-21,61,87,11,88
2024-04-28,101,138,20,234
2024-05-05,139,181,14,212
2024-05-12,195,325,19,264
2024-05-19,191,335,18,307
2024-05-26,236,372,21,336
2024-06-02,269,423,39,478
2024-06-09,251,536,39,2226
2024-06-16,329,491,42,3199
2024-06-23,375,682,58,1651
2024-06-30,407,679,53,1582
2024-07-07,392,695,59,1650
2024-07-14,499,859,59,1669
2024-07-21,498,909,52,1604
2024-07-28,519,1081,76,1002
2024-08-04,622,1145,64,899
2024-08-11,582,1116,88,815
2024-08-18,687,1380,77,932
2024-08-25,711,1108,158,953
2024-09-01,676,1025,164,927
2024-09-08,700,1218,174,939
2024-09-15,692,1367,201,1062
2024-09-22,740,1410,172,1181
2024-09-29,806,1364,222,1227
2024-10-06,787,1160,246,1579
2024-10-13,894,1765,218,1540
2024-10-20,888,2171,249,1500
2024-10-27,748,916,211,973
2024-11-03,746,877,263,1419
2024-11-10,1066,964,266,1182
2024-11-17,1143,1049,260,1135
2024-11-24,1058,1080,303,1103
2024-12-01,1122,1244,314,2667
2024-12-08,1066,1192,275,1489
2024-12-15,1084,1210,309,1179
2024-12-22,1047,1321,304,1260
2024-12-29,867,975,222,999
2025-01-05,1054,921,131,1144
2025-01-12,1193,1227,277,1555
2025-01-19,1091,1314,315,1536
2025-01-26,1180,1331,348,1466
2025-02-02,970,2013,317,1539
2025-02-09,1094,2148,377,1745
2025-02-16,1421,2587,226,2067
2025-02-23,1409,2621,230,2172
2025-03-02,1315,2667,423,1981
2025-03-09,1241,2652,458,2097
2025-03-16,1347,2810,436,2159
2025-03-23,1395,2861,383,2747
2025-03-30,1541,2886,304,2205
2025-04-06,1524,2993,215,2195
2025-04-13,1729,3254,232,2343
2025-04-20,1551,2964,319,2491
2025-04-27,0,2992,1848,2199
2025-05-04,0,2815,1853,2576
