applicationId,enabled,language,os,region,date,userCount
0RDCKDDDSTDK,,,,,2024-11-10,10
0RDCKDDDSTDK,,,,,2024-11-17,11
0RDCKDDDSTDK,,,,,2024-11-24,11
0RDCKDDDSTDK,,,,,2024-12-01,16
0RDCKDDDSTDK,,,,,2024-12-08,22
0RDCKDDDSTDK,,,,,2024-12-15,23
0RDCKDDDSTDK,,,,,2024-12-22,17
0RDCKDDDSTDK,,,,,2024-12-29,16
0RDCKDDDSTDK,,,,,2025-01-05,11
0RDCKDDDSTDK,,,,,2025-01-12,14
0RDCKDDDSTDK,,,,,2025-01-19,21
0RDCKDDDSTDK,,,,,2025-01-26,30
0RDCKDDDSTDK,,,,,2025-02-02,24
0RDCKDDDSTDK,,,,,2025-02-09,31
0RDCKDDDSTDK,,,,,2025-02-16,32
0RDCKDDDSTDK,,,,,2025-02-23,33
0RDCKDDDSTDK,,,,,2025-03-02,33
0RDCKDDDSTDK,,,,,2025-03-09,35
0RDCKDDDSTDK,,,,,2025-03-16,43
0RDCKDDDSTDK,,,,,2025-03-23,47
0RDCKDDDSTDK,,,,,2025-03-30,44
0RDCKDDDSTDK,,,,,2025-04-06,43
0RDCKDDDSTDK,,,,,2025-04-13,42
0RDCKDDDSTDK,,,,,2025-04-20,42
0RDCKDDDSTDK,,,,,2025-04-27,49
0RDCKDDDSTDK,,,,,2025-05-04,103
