Weekly users over time
Date,Weekly users
4/24/21,23440
4/25/21,24094
4/26/21,23735
4/27/21,23656
4/28/21,23950
4/29/21,23897
4/30/21,23455
5/1/21,24343
5/2/21,25082
5/3/21,24640
5/4/21,24777
5/5/21,24429
5/6/21,23980
5/7/21,23674
5/8/21,24430
5/9/21,25028
5/10/21,25151
5/11/21,25786
5/12/21,26036
5/13/21,26061
5/14/21,25422
5/15/21,25993
5/16/21,27279
5/17/21,27018
5/18/21,26514
5/19/21,26026
5/20/21,25735
5/21/21,25760
5/22/21,26578
5/23/21,26547
5/24/21,25719
5/25/21,25506
5/26/21,25405
5/27/21,25505
5/28/21,24944
5/29/21,25536
5/30/21,26235
5/31/21,25962
6/1/21,26204
6/2/21,26224
6/3/21,26152
6/4/21,25680
6/5/21,26269
6/6/21,26960
6/7/21,26891
6/8/21,26462
6/9/21,26424
6/10/21,26205
6/11/21,25874
6/12/21,26528
6/13/21,27753
6/14/21,27598
6/15/21,27648
6/16/21,27569
6/17/21,27441
6/18/21,26651
6/19/21,27551
6/20/21,27799
6/21/21,27219
6/22/21,27025
6/23/21,26723
6/24/21,26979
6/25/21,26380
6/26/21,26823
6/27/21,27685
6/28/21,27295
6/29/21,27354
6/30/21,27247
7/1/21,27011
7/2/21,26427
7/3/21,26629
7/4/21,26937
7/5/21,27045
7/6/21,27332
7/7/21,27373
7/8/21,27065
7/9/21,26091
7/10/21,25858
7/11/21,27075
7/12/21,27825
7/13/21,28048
7/14/21,28265
7/15/21,27990
7/16/21,27083
7/17/21,26801
7/18/21,26974
7/19/21,27440
7/20/21,27315
7/21/21,26944
7/22/21,26737
7/23/21,25671
7/24/21,25556
7/25/21,26260
7/26/21,27093
7/27/21,27256
7/28/21,27613
7/29/21,27517
7/30/21,26626
7/31/21,26742
8/1/21,27691
8/2/21,28672
8/3/21,28949
8/4/21,29995
8/5/21,30323
8/6/21,29125
8/7/21,28364
8/8/21,29484
8/9/21,30873
8/10/21,31241
8/11/21,31369
8/12/21,31338
8/13/21,29896
8/14/21,29096
8/15/21,30651
8/16/21,31735
8/17/21,31352
8/18/21,31400
8/19/21,31264
8/20/21,30267
8/21/21,29729
8/22/21,29773
8/23/21,30772
8/24/21,30879
8/25/21,30871
8/26/21,30676
8/27/21,29653
8/28/21,28475
8/29/21,29034
8/30/21,30572
8/31/21,31058
9/1/21,32201
9/2/21,32496
9/3/21,31862
9/4/21,31148
9/5/21,31724
9/6/21,32382
9/7/21,32878
9/8/21,32693
9/9/21,32364
9/10/21,30684
9/11/21,29884
9/12/21,31534
9/13/21,32582
9/14/21,33117
9/15/21,32733
9/16/21,32108
9/17/21,31615
9/18/21,31414
9/19/21,31603
9/20/21,32084
9/21/21,32381
9/22/21,32278
9/23/21,32041
9/24/21,30583
9/25/21,29426
9/26/21,30845
9/27/21,31956
9/28/21,32508
9/29/21,32378
9/30/21,32255
10/1/21,31439
10/2/21,30660
10/3/21,30770
10/4/21,31906
10/5/21,31642
10/6/21,31266
10/7/21,31010
10/8/21,30207
10/9/21,29457
10/10/21,30407
10/11/21,31711
10/12/21,31824
10/13/21,31917
10/14/21,31462
10/15/21,30254
10/16/21,29760
10/17/21,29738
10/18/21,30449
10/19/21,30552
10/20/21,30362
10/21/21,30426
10/22/21,29805
10/23/21,28986
10/24/21,29474
10/25/21,30513
10/26/21,30577
10/27/21,30751
10/28/21,30469
10/29/21,29836
10/30/21,29245
10/31/21,29738
11/1/21,30845
11/2/21,30926
11/3/21,30712
11/4/21,30197
11/5/21,29023
11/6/21,28317
11/7/21,29037
11/8/21,30648
11/9/21,30845
11/10/21,30791
11/11/21,30851
11/12/21,30566
11/13/21,30482
11/14/21,30958
11/15/21,30833
11/16/21,30617
11/17/21,30467
11/18/21,30503
11/19/21,29591
11/20/21,29033
11/21/21,29544
11/22/21,30424
11/23/21,30584
11/24/21,30460
11/25/21,30048
11/26/21,28931
11/27/21,28514
11/28/21,29116
11/29/21,29902
11/30/21,30147
12/1/21,30389
12/2/21,30511
12/3/21,30322
12/4/21,30060
12/5/21,31163
12/6/21,32615
12/7/21,32966
12/8/21,32960
12/9/21,32918
12/10/21,31926
12/11/21,31330
12/12/21,31721
12/13/21,32039
12/14/21,31972
12/15/21,31955
12/16/21,31628
12/17/21,30619
12/18/21,30144
12/19/21,30725
12/20/21,31215
12/21/21,31245
12/22/21,30899
12/23/21,30181
12/24/21,28464
12/25/21,28029
12/26/21,28516
12/27/21,28493
12/28/21,27672
12/29/21,26809
12/30/21,25404
12/31/21,24385
1/1/22,24143
1/2/22,25238
1/3/22,27090
1/4/22,28023
1/5/22,28530
1/6/22,28791
1/7/22,28758
1/8/22,28720
1/9/22,29886
1/10/22,31450
1/11/22,31918
1/12/22,32302
1/13/22,32541
1/14/22,31852
1/15/22,31667
1/16/22,32719
1/17/22,33241
1/18/22,33490
1/19/22,33451
1/20/22,32757
1/21/22,32114
1/22/22,31924
1/23/22,32304
1/24/22,32450
1/25/22,31851
1/26/22,31657
1/27/22,31554
1/28/22,30843
1/29/22,30450
1/30/22,31160
1/31/22,31237
2/1/22,30931
2/2/22,31515
2/3/22,31161
2/4/22,30231
2/5/22,29983
2/6/22,30884
2/7/22,31798
2/8/22,32569
2/9/22,32972
2/10/22,33076
2/11/22,32441
2/12/22,32232
2/13/22,33031
2/14/22,33859
2/15/22,33963
2/16/22,34044
2/17/22,33911
2/18/22,33374
2/19/22,33305
2/20/22,33608
2/21/22,33895
2/22/22,33915
2/23/22,33763
2/24/22,33576
2/25/22,32881
2/26/22,32519
2/27/22,33021
2/28/22,33848
3/1/22,34039
3/2/22,34036
3/3/22,33924
3/4/22,33411
3/5/22,33126
3/6/22,33620
3/7/22,34121
3/8/22,34360
3/9/22,34655
3/10/22,34584
3/11/22,33863
3/12/22,33621
3/13/22,34116
3/14/22,34807
3/15/22,34850
3/16/22,34672
3/17/22,34313
3/18/22,33520
3/19/22,33427
3/20/22,33625
3/21/22,34090
3/22/22,33975
3/23/22,33954
3/24/22,33818
3/25/22,33401
3/26/22,33015
3/27/22,42058
3/28/22,47932
3/29/22,49791
3/30/22,51427
3/31/22,52114
4/1/22,51775
4/2/22,51692
4/3/22,52434
4/4/22,59812
4/5/22,61098
4/6/22,62331
4/7/22,62811
4/8/22,62118
4/9/22,61992
4/10/22,62873
4/11/22,63407
4/12/22,63588
4/13/22,63928
4/14/22,63190
4/15/22,61451
4/16/22,61011
4/17/22,61094
4/18/22,61324
4/19/22,61395
4/20/22,61246
4/21/22,61366
4/22/22,61404
4/23/22,61448
4/24/22,62159
4/25/22,63789
4/26/22,64114
4/27/22,64426
4/28/22,64481
4/29/22,63249
4/30/22,62748
5/1/22,63618
5/2/22,63762
5/3/22,63467
5/4/22,64039
5/5/22,64055
5/6/22,62794
5/7/22,62441
5/8/22,63251
5/9/22,64152
5/10/22,64817
5/11/22,65721
5/12/22,65615
5/13/22,64856
5/14/22,64492
5/15/22,64969
5/16/22,65146
5/17/22,68180
5/18/22,69572
5/19/22,69442
5/20/22,68289
5/21/22,66715
5/22/22,65897
5/23/22,66108
5/24/22,65352
5/25/22,65141
5/26/22,64707
5/27/22,63346
5/28/22,62952
5/29/22,63695
5/30/22,63510
5/31/22,63418
6/1/22,63852
6/2/22,64172
6/3/22,63338
6/4/22,62585
6/5/22,62763
6/6/22,62870
6/7/22,63023
6/8/22,63390
6/9/22,63819
6/10/22,63305
6/11/22,62994
6/12/22,63490
6/13/22,64185
6/14/22,64500
6/15/22,65059
6/16/22,64693
6/17/22,63040
6/18/22,62936
6/19/22,63333
6/20/22,63473
6/21/22,63601
6/22/22,64987
6/23/22,65279
6/24/22,64430
6/25/22,63876
6/26/22,64343
6/27/22,64852
6/28/22,65124
6/29/22,65392
6/30/22,65670
7/1/22,64600
7/2/22,64338
7/3/22,65120
7/4/22,64908
7/5/22,64353
7/6/22,64025
7/7/22,63619
7/8/22,62519
7/9/22,62170
7/10/22,62738
7/11/22,63063
7/12/22,63395
7/13/22,63666
7/14/22,62984
7/15/22,61555
7/16/22,61364
7/17/22,61940
7/18/22,62397
7/19/22,62148
7/20/22,62244
7/21/22,62646
7/22/22,61648
7/23/22,61139
7/24/22,61774
7/25/22,62179
7/26/22,62071
7/27/22,62415
7/28/22,61990
7/29/22,60647
7/30/22,60196
7/31/22,60766
8/1/22,61149
8/2/22,61054
8/3/22,60692
8/4/22,60019
8/5/22,57899
8/6/22,57457
8/7/22,58042
8/8/22,58556
8/9/22,58708
8/10/22,58964
8/11/22,58636
8/12/22,57201
8/13/22,56934
8/14/22,57348
8/15/22,56755
8/16/22,57187
8/17/22,57356
8/18/22,57338
8/19/22,55869
8/20/22,55903
8/21/22,56326
8/22/22,57970
8/23/22,58344
8/24/22,58787
8/25/22,58639
8/26/22,57844
8/27/22,57498
8/28/22,58157
8/29/22,58984
8/30/22,59256
8/31/22,59396
9/1/22,59626
9/2/22,58699
9/3/22,58331
9/4/22,58852
9/5/22,58787
9/6/22,58824
9/7/22,59294
9/8/22,59428
9/9/22,58266
9/10/22,57884
9/11/22,58525
9/12/22,59039
9/13/22,59748
9/14/22,60015
9/15/22,60299
9/16/22,59447
9/17/22,59137
9/18/22,59730
9/19/22,59919
9/20/22,59807
9/21/22,59859
9/22/22,59485
9/23/22,58746
9/24/22,58321
9/25/22,58404
9/26/22,58795
9/27/22,58887
9/28/22,59432
9/29/22,59621
9/30/22,58654
10/1/22,58338
10/2/22,58792
10/3/22,59302
10/4/22,59062
10/5/22,58817
10/6/22,58571
10/7/22,57437
10/8/22,56943
10/9/22,57902
10/10/22,58360
10/11/22,58316
10/12/22,59270
10/13/22,59281
10/14/22,58319
10/15/22,57900
10/16/22,58191
10/17/22,58628
10/18/22,58403
10/19/22,58521
10/20/22,58299
10/21/22,57145
10/22/22,56741
10/23/22,56987
10/24/22,56770
10/25/22,56716
10/26/22,56725
10/27/22,56682
10/28/22,55236
10/29/22,54779
10/30/22,55078
10/31/22,55740
11/1/22,55474
11/2/22,55698
11/3/22,55294
11/4/22,53299
11/5/22,52890
11/6/22,53390
11/7/22,53025
11/8/22,53018
11/9/22,49453
11/10/22,48926
11/11/22,48279
11/12/22,47802
11/13/22,48256
11/14/22,48552
11/15/22,48646
11/16/22,48718
11/17/22,48416
11/18/22,47916
11/19/22,47561
11/20/22,48079
11/21/22,48264
11/22/22,47956
11/23/22,47940
11/24/22,47527
11/25/22,46451
11/26/22,45808
11/27/22,46185
11/28/22,46298
11/29/22,46344
11/30/22,46531
12/1/22,46532
12/2/22,45860
12/3/22,45546
12/4/22,45838
12/5/22,45633
12/6/22,45621
12/7/22,46172
12/8/22,46191
12/9/22,45451
12/10/22,45055
12/11/22,45681
12/12/22,45931
12/13/22,45968
12/14/22,46020
12/15/22,45858
12/16/22,45171
12/17/22,44864
12/18/22,45117
12/19/22,44980
12/20/22,44546
12/21/22,44416
12/22/22,43991
12/23/22,42853
12/24/22,42301
12/25/22,42002
12/26/22,40905
12/27/22,40012
12/28/22,38774
12/29/22,36680
12/30/22,35034
12/31/22,34697
1/1/23,35358
1/2/23,37317
1/3/23,39229
1/4/23,40351
1/5/23,40981
1/6/23,40753
1/7/23,40570
1/8/23,41853
1/9/23,42880
1/10/23,43670
1/11/23,44266
1/12/23,44467
1/13/23,44177
1/14/23,43942
1/15/23,44466
1/16/23,44649
1/17/23,44772
1/18/23,45079
1/19/23,45105
1/20/23,44633
1/21/23,44402
1/22/23,44800
1/23/23,45051
1/24/23,44971
1/25/23,44735
1/26/23,44376
1/27/23,43881
1/28/23,43577
1/29/23,44077
1/30/23,44284
1/31/23,44369
2/1/23,44827
2/2/23,45337
2/3/23,44968
2/4/23,44645
2/5/23,45032
2/6/23,45056
2/7/23,45100
2/8/23,45398
2/9/23,45448
2/10/23,44853
2/11/23,44437
2/12/23,44233
2/13/23,43593
2/14/23,42288
2/15/23,40819
2/16/23,37455
2/17/23,34148
2/18/23,31050
2/19/23,30279
2/20/23,30335
2/21/23,30325
2/22/23,30165
2/23/23,29974
2/24/23,29424
2/25/23,29064
2/26/23,29361
2/27/23,29948
2/28/23,29998
3/1/23,29939
3/2/23,29757
3/3/23,29105
3/4/23,28839
3/5/23,29082
3/6/23,29585
3/7/23,29637
3/8/23,29897
3/9/23,29907
3/10/23,29469
3/11/23,29220
3/12/23,29436
3/13/23,29877
3/14/23,29798
3/15/23,29879
3/16/23,29783
3/17/23,29199
3/18/23,29053
3/19/23,29288
3/20/23,29805
3/21/23,29709
3/22/23,29573
3/23/23,29451
3/24/23,28943
3/25/23,28623
3/26/23,28887
3/27/23,29428
3/28/23,29515
3/29/23,29593
3/30/23,29387
3/31/23,28873
4/1/23,28575
4/2/23,28846
4/3/23,29322
4/4/23,29260
4/5/23,29087
4/6/23,28678
4/7/23,27996
4/8/23,27731
4/9/23,27884
4/10/23,28284
4/11/23,28436
4/12/23,28498
4/13/23,28402
4/14/23,28370
4/15/23,28191
4/16/23,28586
4/17/23,29388
4/18/23,29526
4/19/23,29530
4/20/23,29210
4/21/23,28738
4/22/23,28507
4/23/23,28760
4/24/23,29164
4/25/23,29101
4/26/23,28952
4/27/23,28697
4/28/23,28243
4/29/23,27967
4/30/23,28004
5/1/23,28138
5/2/23,27979
5/3/23,28080
5/4/23,27870
5/5/23,27248
5/6/23,26988
5/7/23,27365
5/8/23,28277
5/9/23,28443
5/10/23,28332
5/11/23,28249
5/12/23,27775
5/13/23,27568
5/14/23,27863
5/15/23,28406
5/16/23,28316
5/17/23,28158
5/18/23,27993
5/19/23,27341
5/20/23,27127
5/21/23,27337
5/22/23,27919
5/23/23,27931
5/24/23,27769
5/25/23,27631
5/26/23,27143
5/27/23,26819
5/28/23,27009
5/29/23,27124
5/30/23,27211
5/31/23,27149
6/1/23,26786
6/2/23,26290
6/3/23,26116
6/4/23,26332
6/5/23,26871
6/6/23,27052
6/7/23,26883
6/8/23,26713
6/9/23,26242
6/10/23,26018
6/11/23,26263
6/12/23,26811
6/13/23,26815
6/14/23,26809
6/15/23,26779
6/16/23,26358
6/17/23,26163
6/18/23,26431
6/19/23,26791
6/20/23,26837
6/21/23,26655
6/22/23,26518
6/23/23,26037
6/24/23,25796
6/25/23,25988
6/26/23,26404
6/27/23,26593
6/28/23,26438
6/29/23,26096
6/30/23,25440
7/1/23,25173
7/2/23,25431
7/3/23,25731
7/4/23,25574
7/5/23,25579
7/6/23,25652
7/7/23,25225
7/8/23,24974
7/9/23,25191
7/10/23,25667
7/11/23,25920
7/12/23,26134
7/13/23,26040
7/14/23,25566
7/15/23,25388
7/16/23,25644
7/17/23,26153
7/18/23,26029
7/19/23,25975
7/20/23,25633
7/21/23,25016
7/22/23,24756
7/23/23,24910
7/24/23,25411
7/25/23,25452
7/26/23,25401
7/27/23,25220
7/28/23,24674
7/29/23,24448
7/30/23,24709
7/31/23,25148
8/1/23,25106
8/2/23,25039
8/3/23,24876
8/4/23,24386
8/5/23,24185
8/6/23,24458
8/7/23,24747
8/8/23,24167
8/9/23,24027
8/10/23,23858
8/11/23,23329
8/12/23,23106
8/13/23,23269
8/14/23,23598
8/15/23,23585
8/16/23,23596
8/17/23,23519
8/18/23,23084
8/19/23,22899
8/20/23,23143
8/21/23,23635
8/22/23,24063
8/23/23,24048
8/24/23,23961
8/25/23,23504
8/26/23,23222
8/27/23,23409
8/28/23,23834
8/29/23,24032
8/30/23,24251
8/31/23,24127
9/1/23,23755
9/2/23,23535
9/3/23,23762
9/4/23,23827
9/5/23,24021
9/6/23,23982
9/7/23,23856
9/8/23,23584
9/9/23,23395
9/10/23,23615
9/11/23,24078
9/12/23,24110
9/13/23,24022
9/14/23,24080
9/15/23,23524
9/16/23,23405
9/17/23,23507
9/18/23,23700
9/19/23,23700
9/20/23,23747
9/21/23,23700
9/22/23,23324
9/23/23,23064
9/24/23,23289
9/25/23,23801
9/26/23,23954
9/27/23,23947
9/28/23,23988
9/29/23,23584
9/30/23,23394
10/1/23,23515
10/2/23,23620
10/3/23,23829
10/4/23,23717
10/5/23,23668
10/6/23,23418
10/7/23,23267
10/8/23,23474
10/9/23,24637
10/10/23,24908
10/11/23,25196
10/12/23,25460
10/13/23,25115
10/14/23,24974
10/15/23,25212
10/16/23,25712
10/17/23,25953
10/18/23,25863
10/19/23,25552
10/20/23,25125
10/21/23,24925
10/22/23,25103
10/23/23,25556
10/24/23,25396
10/25/23,25338
10/26/23,25379
10/27/23,24885
10/28/23,24647
10/29/23,24849
10/30/23,25292
10/31/23,25567
11/1/23,25424
11/2/23,25228
11/3/23,24773
11/4/23,24591
11/5/23,24862
11/6/23,25362
11/7/23,25044
11/8/23,24926
11/9/23,24877
11/10/23,24480
11/11/23,24171
11/12/23,24271
11/13/23,24121
11/14/23,24393
11/15/23,24595
11/16/23,24590
11/17/23,24063
11/18/23,23894
11/19/23,24306
11/20/23,24860
11/21/23,24877
