date,Hong Kong SAR,Ireland,Korea,United States
2022-11-13,0,7953,3987,18693
2022-11-20,0,8326,4074,19024
2022-11-27,0,8857,3919,14095
2022-12-04,0,8572,4081,18843
2022-12-11,0,8920,4233,18261
2022-12-18,0,8527,3945,17651
2022-12-25,0,7644,3655,15098
2023-01-01,0,5838,3024,12683
2023-01-08,0,7781,3570,15246
2023-01-15,0,9302,3897,18257
2023-01-22,0,10071,4005,14540
2023-01-29,0,13641,3906,17762
2023-02-05,0,14749,5140,18273
2023-02-12,0,16539,5454,21414
2023-02-19,0,18823,5635,22181
2023-02-26,0,18511,5254,20811
2023-03-05,0,21198,6343,23179
2023-03-12,0,22207,5477,25438
2023-03-19,0,22800,5602,28610
2023-03-26,0,23063,5301,28826
2023-04-02,0,28896,5536,28669
2023-04-16,0,28184,5739,27900
2023-04-23,0,30540,5467,27580
2023-04-30,0,30070,5430,21969
2023-05-07,0,28802,4659,20669
2023-05-14,0,29064,5447,21142
2023-05-21,0,30367,5259,21712
2023-05-28,0,29553,5058,20877
2023-06-04,0,29654,5132,20964
2023-06-11,0,31653,5112,21270
2023-06-18,0,31764,5121,20746
2023-06-25,0,33524,5142,20067
2023-07-02,0,33138,5127,20692
2023-07-09,0,32766,5005,19983
2023-07-16,0,31888,5129,20306
2023-07-23,0,31990,5143,19716
2023-07-30,0,31509,5615,21013
2023-08-06,0,30207,5575,20840
2023-08-13,0,29528,5309,20799
2023-08-20,0,28087,5172,19463
2023-08-27,0,29551,5477,19123
2023-09-03,0,30385,5379,19198
2023-09-10,0,27718,5576,18416
2023-09-17,0,29748,5696,18753
2023-09-24,0,30987,5642,18526
2023-10-01,0,32799,5150,19354
2023-10-08,0,31389,4798,20426
2023-10-15,0,32682,5447,20611
2023-10-22,0,31738,5201,19992
2023-10-29,0,30647,5013,19109
2023-11-05,0,30212,5191,20693
2023-11-12,0,35992,5016,20543
2023-11-19,0,40515,4374,20293
2023-11-26,0,38677,4314,19533
2023-12-03,0,40366,4370,20770
2023-12-10,0,36409,4304,23794
2023-12-17,0,38647,4420,21458
2023-12-24,0,40449,4622,20551
2023-12-31,0,31736,3580,17615
2024-01-07,0,35608,3584,21080
2024-01-14,0,39441,4177,23965
2024-01-21,0,40929,4562,22531
2024-01-28,582,39034,3998,25284
2024-02-04,3387,39711,1429,24881
2024-02-11,3368,35388,1272,25204
2024-02-18,3403,35389,1325,22807
2024-02-25,4160,35462,1352,22499
2024-03-03,3634,35790,1292,24069
2024-03-10,3717,35102,1351,23414
2024-03-17,3567,36062,1260,22396
2024-03-24,3485,37609,1298,22385
2024-03-31,3309,35381,1203,22694
2024-04-07,3317,35813,1246,25178
2024-04-14,3295,37840,1409,21681
2024-04-21,3240,36611,1343,23837
2024-04-28,3306,32372,1196,25038
2024-05-05,3172,35611,1058,23091
2024-05-12,3161,34944,1333,22310
2024-05-19,3248,36607,1388,23576
2024-05-26,3225,36490,1340,23457
2024-06-02,2892,31855,1527,22648
2024-06-09,3249,40014,1205,21553
2024-06-16,3782,37966,1474,24719
2024-06-23,3921,37400,1406,23282
2024-06-30,4525,37127,537,23929
2024-07-07,4123,36856,518,23199
2024-07-14,3893,35553,1038,23066
2024-07-21,3343,34303,1177,22419
2024-07-28,4009,33188,645,21978
2024-08-04,3850,32408,731,21471
2024-08-11,3728,31417,913,20780
2024-08-18,3542,20727,1035,19729
2024-08-25,3229,19708,1590,20382
2024-09-01,3190,22043,1509,20575
2024-09-08,3076,22442,1200,19323
2024-09-15,3419,22575,652,19573
2024-09-22,3377,22267,556,18317
2024-09-29,3626,23324,475,18484
2024-10-06,3342,22176,394,17770
2024-10-13,3287,22475,626,17929
2024-10-20,3302,22501,679,17790
2024-10-27,2323,11749,608,9630
2024-11-03,2162,11188,583,8928
2024-11-10,1923,11896,841,8706
2024-11-17,1877,11892,927,8817
2024-11-24,2002,11916,844,8795
2024-12-01,1910,11898,798,8495
2024-12-08,2111,11788,547,8572
2024-12-15,1971,11914,560,8074
2024-12-22,1920,11211,540,8761
2024-12-29,1721,9383,496,7110
2025-01-05,1793,9518,354,7562
2025-01-12,1961,11256,497,8289
2025-01-19,1904,11539,514,7700
2025-01-26,1879,11559,544,7697
2025-02-02,1848,11480,495,7496
2025-02-09,1916,11492,531,7500
2025-02-16,2119,10953,392,7694
2025-02-23,2006,10836,374,7449
2025-03-02,1848,10803,565,8593
2025-03-09,1815,11070,531,7503
2025-03-16,1887,11165,523,7237
2025-03-23,1872,11116,500,6935
2025-03-30,1908,11001,452,6911
2025-04-06,1910,10953,327,6864
2025-04-13,1886,10699,359,6646
2025-04-20,1793,10191,458,6301
2025-04-27,0,10163,2199,6486
2025-05-04,0,9648,2398,6533
