date,Hong Kong SAR,Ireland,Korea,United States
2020-11-22,1,8,0,0
2020-11-29,1,18,0,1
2020-12-06,3,15,0,2
2020-12-13,3,13,0,1
2020-12-20,3,10,0,1
2020-12-27,3,8,0,1
2021-01-03,2,9,0,0
2021-01-10,4,7,0,0
2021-01-17,1,11,0,0
2021-01-24,3,10,0,0
2021-01-31,2,9,0,0
2021-02-07,2,13,0,0
2021-02-14,0,12,0,0
2021-02-21,1,14,0,0
2021-02-28,3,14,0,0
2021-03-07,8,30,0,1
2021-03-14,8,26,0,1
2021-03-21,6,32,0,1
2021-03-28,13,23,0,1
2021-04-04,15,23,0,1
2021-04-11,15,30,0,4
2021-04-18,17,37,0,1
2021-04-25,22,31,0,1
2021-05-02,11,22,0,1
2021-05-09,10,19,0,0
2021-05-16,12,24,0,3
2021-05-23,15,26,0,4
2021-05-30,13,32,0,2
2021-06-06,17,33,0,2
2021-06-13,17,45,0,2
2021-06-20,16,36,0,5
2021-06-27,19,41,0,6
2021-07-04,16,46,0,4
2021-07-11,17,77,0,2
2021-07-18,16,53,0,1
2021-07-25,14,51,0,1
2021-08-01,17,43,0,1
2021-08-08,17,48,0,3
2021-08-15,17,35,0,3
2021-08-22,15,41,0,2
2021-08-29,19,31,0,2
2021-09-05,20,46,0,2
2021-09-12,19,49,0,2
2021-09-19,59,113,0,48
2021-09-26,4,240,0,119
2021-10-03,4,303,0,280
2021-10-10,3,310,0,299
2021-10-17,6,388,0,400
2021-10-24,7,459,0,467
2021-10-31,0,552,0,449
2021-11-07,136,440,0,349
2021-11-14,448,383,0,238
2021-11-21,566,429,0,292
2021-11-28,627,614,0,405
2021-12-05,657,738,0,394
2021-12-12,737,728,0,483
2021-12-19,805,802,0,428
2021-12-26,738,776,0,388
2022-01-02,580,764,0,305
2022-01-09,770,989,0,484
2022-01-16,820,1069,0,615
2022-01-23,904,1480,0,633
2022-01-30,875,1744,0,684
2022-02-06,813,2253,0,796
2022-02-13,418,3501,0,1167
2022-02-20,265,2995,0,1375
2022-02-27,361,2204,0,1373
2022-03-06,1338,1665,0,1157
2022-03-13,1342,1733,0,1204
2022-03-20,1420,1882,0,1287
2022-03-27,1537,2030,0,1527
2022-04-03,1578,2145,0,1684
2022-04-10,1659,2342,0,1947
2022-04-17,1573,2276,0,1966
2022-04-24,1811,2279,65,2212
2022-05-01,1755,2637,178,2362
2022-05-08,1572,2717,133,2472
2022-05-15,866,2908,869,2959
2022-05-22,0,3356,1901,2949
2022-05-29,0,3309,2029,3195
2022-06-05,0,3913,2630,5822
2022-06-12,0,3345,2819,5863
2022-06-19,0,4210,2868,5585
2022-06-26,0,4827,2735,5915
2022-07-03,0,5843,2675,16304
2022-07-10,0,6092,2904,14539
2022-07-17,0,6243,3018,15748
2022-07-24,0,9235,3030,15655
2022-07-31,0,5602,2894,15369
2022-08-07,0,5431,3002,17110
2022-08-14,0,6017,3414,16154
2022-08-21,0,7326,2822,15601
2022-08-28,0,7239,3931,16947
2022-09-11,0,7372,3807,16461
2022-09-18,0,7527,3684,17541
2022-09-25,0,7830,3760,17890
2022-10-02,0,7661,3917,17267
2022-10-09,0,7195,3568,16617
2022-10-16,0,9037,3828,15209
2022-10-23,0,9212,3727,19323
2022-10-30,0,8003,3602,17404
2022-11-06,0,8064,3494,18741
